         , Адлер, Анапа, Батуми, Бердянск, Бургас, Варна, Гагры, Галац
Адлер    , -    , 150  , 120   , 286     , 550   , 516  , 12   , 534
Анапа    , 150  , -    , 275   , 144     , 452   , 415  , 160  , 436
Батуми   , 120  , 275  , -     , 407     , 633   , 614  , 117  , 643
Бердянск , 286  , 144  , 407   , -       , 532   , 507  , 298  , 505
Бургас   , 550  , 452  , 633   , 532     , -     , 55   , 563  , 260
Варна    , 516  , 415  , 614   , 507     , 55    , -    , 540  , 217
Гагры    , 12   , 160  , 117   , 298     , 563   , 540  , -    , 576
Галац    , 534  , 436  , 643   , 505     , 260   , 217  , 576  , -
Геленджик, 110  , 43   , 237   , 181     , 472   , 445  , 120  , 465
Геническ , 294  , 152  , 420   , 96      , 541   , 512  , 306  , 512
Гудауты  , 37   , 188  , 73    , 324     , 612   , 573  , 20   , 595
Гурзуф   , 245  , 129  , 365   , 220     , 322   , 290  , 270  , 302
Джубга   , 72   , 75   , 216   , 217     , 486   , 460  , 93   , 473
Евпатория, 337  , 216  , 442   , 302     , 302   , 265  , 340  , 257
Ейск     , 343  , 201  , 459   , 82      , 589   , 564  , 355  , 562
Инеболи  , 283  , 235  , 356   , 335     , 282   , 267  , 300  , 352
Истанбул , 498  , 436  , 586   , 520     , 126   , 146  , 526  , 320
Керчь    , 194  , 52   , 318   , 92      , 440   , 415  , 206  , 413
Констанца, 483  , 375  , 588   , 464     , 126   , 80   , 525  , 143
Мариуполь, 313  , 171  , 437   , 52      , 559   , 523  , 325  , 529
